country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","09-04-2026 11:00:00",21.755417,72.139056,CO,80,85,82
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","09-04-2026 11:00:00",21.755417,72.139056,OZONE,5,18,7
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","09-04-2026 11:00:00",23.163798,72.677768,PM10,116,159,142
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","09-04-2026 11:00:00",23.163798,72.677768,NH3,4,9,6
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","09-04-2026 11:00:00",23.243639,72.68994,NO2,6,21,10
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","09-04-2026 11:00:00",23.023389,72.515201,PM10,13,57,35
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","09-04-2026 11:00:00",23.076793,72.627874,NH3,NA,NA,NA
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","09-04-2026 11:00:00",23.076793,72.627874,CO,NA,NA,NA
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","09-04-2026 11:00:00",21.613267,73.010555,PM10,46,118,106
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","09-04-2026 11:00:00",21.613267,73.010555,NH3,5,6,5
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","09-04-2026 11:00:00",20.362421,72.918013,PM10,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","09-04-2026 11:00:00",20.362421,72.918013,NH3,NA,NA,NA
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","09-04-2026 11:00:00",22.969611,72.643500,PM2.5,69,321,190
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","09-04-2026 11:00:00",22.969611,72.643500,PM10,109,184,140
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","09-04-2026 11:00:00",22.969611,72.643500,NO2,38,56,50
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","09-04-2026 11:00:00",22.248853,70.776774,PM10,85,148,115
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","09-04-2026 11:00:00",22.248853,70.776774,SO2,8,19,13
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","09-04-2026 11:00:00",23.221714,72.654328,PM10,70,104,90
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","09-04-2026 11:00:00",23.221714,72.654328,NH3,1,2,1
India,Gujarat,Surat,"Science Center, Surat - SMC","09-04-2026 11:00:00",21.170046,72.795405,PM10,33,112,72
India,Gujarat,Surat,"Science Center, Surat - SMC","09-04-2026 11:00:00",21.170046,72.795405,CO,29,38,34
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","09-04-2026 11:00:00",23.593150,72.372792,PM2.5,15,174,63
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","09-04-2026 11:00:00",28.593883,76.270653,NO2,9,23,15
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","09-04-2026 11:00:00",22.320153,73.216285,OZONE,3,7,4
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","09-04-2026 11:00:00",29.140560,75.744941,SO2,NA,NA,NA
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","09-04-2026 11:00:00",29.140560,75.744941,OZONE,15,156,34
India,Haryana,Jind,"Police Lines, Jind - HSPCB","09-04-2026 11:00:00",29.307814,76.337619,PM2.5,17,59,42
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","09-04-2026 11:00:00",29.695300,77.002700,PM2.5,30,162,68
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","09-04-2026 11:00:00",29.695300,77.002700,SO2,3,13,8
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","09-04-2026 11:00:00",29.695300,77.002700,OZONE,13,52,30
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","09-04-2026 11:00:00",29.966942,76.875879,PM2.5,33,65,49
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","09-04-2026 11:00:00",29.966942,76.875879,NO2,3,6,4
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","09-04-2026 11:00:00",28.593883,76.270653,OZONE,14,16,15
